epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.542500019,0.703077137,0.001,0.855000019,0.565554082
1,0.725000024,0.570079744,0.001,0.824999988,0.515035689
2,0.772499979,0.532961667,0.001,0.824999988,0.48389855
3,0.816250026,0.484389126,0.001,0.839999974,0.483640075
4,0.821250021,0.467398763,0.001,0.824999988,0.486711055
5,0.814999998,0.452991396,0.001,0.860000014,0.482051313
6,0.852500021,0.394777387,0.001,0.850000024,0.408922881
7,0.857500017,0.404281437,0.001,0.894999981,0.337867498
8,0.877499998,0.36955905,0.001,0.845000029,0.404371619
9,0.863749981,0.432847589,0.001,0.904999971,0.302209646
10,0.86500001,0.337587386,0.000904837,0.894999981,0.331467777
11,0.889999986,0.322021842,0.000818731,0.889999986,0.299399674
12,0.903750002,0.291263938,0.000740818,0.814999998,0.596678972
13,0.879999995,0.312017739,0.00067032,0.800000012,0.594125628
14,0.913749993,0.266384095,0.00060653,0.824999988,0.476867586
15,0.898750007,0.310662091,0.000548811,0.829999983,0.501001716
16,0.910000026,0.365321159,0.000496585,0.88499999,0.318667144
17,0.922500014,0.266494036,0.000449329,0.870000005,0.399385303
18,0.91624999,0.254020214,0.000406569,0.904999971,0.336267024
19,0.928749979,0.239293784,0.000367879,0.879999995,0.37918517
20,0.94749999,0.215093896,0.000332871,0.88499999,0.414754778
21,0.936249971,0.199523166,0.000301194,0.889999986,0.419440448
22,0.939999998,0.221848607,0.000272532,0.894999981,0.384328395
23,0.944999993,0.188846543,0.000246597,0.904999971,0.349927872
24,0.9375,0.213399872,0.00022313,0.920000017,0.339489758
25,0.94749999,0.186604887,0.000201896,0.910000026,0.333128214
26,0.953750014,0.172980666,0.000182683,0.915000021,0.357866853
27,0.952499986,0.166311473,0.000165299,0.925000012,0.353629678
28,0.941250026,0.209684923,0.000149568,0.88499999,0.304742098
29,0.946250021,0.173244417,0.000135335,0.870000005,0.365530282
